Date,Close,High,Low,Open,Volume
2015-10-05,9.074833869934082,9.214642107007508,8.973155002064392,9.008107061332748,29305897
2015-10-06,9.157447814941406,9.198755044239293,8.985865377839747,8.992219997735996,29033466
2015-10-07,9.417994499206543,9.624529977691175,9.170152915011938,9.309960522768874,45932205
2015-10-08,9.452954292297363,9.49108422113573,9.271838230301531,9.360807330933449,32518629
2015-10-09,9.389398574829102,9.5991119449149,9.208283732466002,9.592756227649554,45669211
2015-10-13,8.88736629486084,9.179692641335059,8.78886470909626,9.119320985540364,48392074
2015-10-14,8.804747581481934,8.982685702504822,8.7411986453973,8.826990396602751,58466595
2015-10-15,8.658585548400879,8.884184979703907,8.534664424167945,8.842878304954933,43590310
2015-10-16,8.528307914733887,8.757085719667591,8.483823387385076,8.610922351234775,36518707
2015-10-19,8.731666564941406,8.75390883108171,8.515599072432604,8.563260914163829,26747655
2015-10-20,8.553733825683594,8.846060779158723,8.487007535210209,8.78568911159074,33235009
2015-10-21,8.490180969238281,8.629989209227366,8.420276299250663,8.591859839228455,27173091
2015-10-22,8.66811466217041,8.693534229069897,8.499709068973916,8.521951327509166,33391462
2015-10-23,8.610929489135742,8.928675512172031,8.604574315678063,8.849238868914615,31717851
2015-10-26,8.4838285446167,8.72849359376451,8.452054334331981,8.658589451148922,21916488
2015-10-27,8.43616771697998,8.537846075759463,8.359907847908797,8.483829035162898,22113960
2015-10-28,8.493356704711914,8.715779363454768,8.37261344710263,8.445694863550724,2860803
2015-10-29,8.261402130126953,8.620455144073901,8.261402130126953,8.382145937910382,29777979
2015-10-30,8.410746574401855,8.426634228561685,8.267760986922719,8.347197607742201,21866575
2015-11-03,8.95280647277832,8.95280647277832,8.47909587345903,8.488633755707134,45368284
2015-11-04,8.975066184997559,9.156284394464048,8.892405411472248,9.089519733049546,33198891
2015-11-05,9.083160400390625,9.092698287193587,8.879687316277545,8.975065634002132,17824933
2015-11-06,8.946447372436523,9.060900847558445,8.838352117985423,9.060900847558445,23989036
2015-11-09,8.71753978729248,8.927370959632386,8.692105255547455,8.898757317783485,19905831
2015-11-10,8.771592140197754,8.771592140197754,8.552222955195749,8.698469261965421,19001416
